2025-06-02 02:29:55.924 | ERROR    | __main__:main:82 - An error occurred: [WinError 193] %1 is not a valid Win32 application
2025-06-02 02:30:37.098 | INFO     | __main__:scrape_products:21 - Starting scraping for search term: gaming laptop
2025-06-02 02:30:41.405 | INFO     | __main__:scrape_products:29 - Scraping page 1
2025-06-02 02:31:11.841 | INFO     | __main__:scrape_products:49 - No more pages available
2025-06-02 02:31:13.929 | INFO     | __main__:scrape_products:53 - Saving collected data...
2025-06-02 02:31:13.930 | ERROR    | data_manager:save_to_csv:42 - Error saving CSV file: list index out of range
2025-06-02 02:31:13.931 | INFO     | data_manager:save_to_json:54 - Saved 0 products to ../output\products_20250602_023113.json
2025-06-02 02:31:13.942 | INFO     | __main__:scrape_products:58 - Generating analysis...
2025-06-02 02:31:13.943 | ERROR    | data_manager:save_analysis:122 - Error saving analysis: 'total_products'
2025-06-02 02:31:13.943 | INFO     | __main__:scrape_products:62 - Scraping completed. Total products collected: 0
2025-06-02 02:32:11.467 | INFO     | __main__:scrape_products:21 - Starting scraping for search term: gaming laptop
2025-06-02 02:32:18.891 | INFO     | __main__:scrape_products:29 - Scraping page 1
2025-06-02 02:32:18.913 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:18.916 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:18.920 | INFO     | __main__:scrape_products:40 - Scraped product 1: 2025 Gaming Laptop, 16.0inch Laptop Computer with AMD Ryzen 7 5700U(8C/16T, Up to 4.3GHz), 16GB RAM 512GB NVMe SSD Windows 11 Laptop, Radeon RX Vega 8 Graphics,WiFi 6, Backlit KB,53Wh Battery,Gray
2025-06-02 02:32:18.924 | INFO     | __main__:scrape_products:40 - Scraped product 2: HP Victus 15.6 i5 Gaming Laptop, 15.6" FHD 1920*1080 144Hz, Intel Core i5-12450H, NVIDIA GeForce RTX 3050, 32GB RAM, 1TB SSD, Backlit KB, Touchpad, SD Card Reader, Webcam, HDMI, Wi-Fi 6, W11 H, Blue
2025-06-02 02:32:18.929 | INFO     | __main__:scrape_products:40 - Scraped product 3: ASUS TUF Gaming F16 Gaming Laptop, 16” FHD+ 165Hz 16:10 Display, Intel® Core™ i7-13650HX, NVIDIA® GeForce RTX™ 4060, 16GB DDR5, 512GB PCIe Gen4 SSD, Wi-Fi 6, Windows 11, FX607JV-ES73
2025-06-02 02:32:18.932 | INFO     | __main__:scrape_products:40 - Scraped product 4: ASUS TUF Gaming A15 Gaming Laptop, 15.6” FHD 144Hz Display, NVIDIA® GeForce RTX™ 2050, AMD Ryzen™ 5 7535HS, 8GB DDR5, 512GB PCIe® Gen4 NVMe™ SSD, Wi-Fi 6, Windows 11, FA506NF-ES51
2025-06-02 02:32:18.933 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:18.937 | INFO     | __main__:scrape_products:40 - Scraped product 5: 2025 Laptop with AMD Ryzen 7 5700U Processor(8C/16T, Up to 4.3GHz), 16.1“ FHD Display Laptop Computer with 16GB RAM 512GB NVMe SSD, WiFi 6, BT5.2, USB3.2, 53Wh Battery,Backlit Keyboard,Type-C
2025-06-02 02:32:18.940 | INFO     | __main__:scrape_products:40 - Scraped product 6: ACEMAGIC 2025 AMD Laptop, Laptop Computer with AMD Ryzen 7 6800H (8C/16T, Up to 4.7GHz), 16GB DDR5 512GB NVMe SSD Windows 11 Laptop, 16-inch FHD Display, WiFi 6,Backlit KB
